Date,Service,Cost,Usage
2025-10-19,AWS CloudShell,0.0,0.0
2025-10-19,AWS Data Transfer,-0.0,0.0
2025-10-19,AWS Glue,0.0,2.0
2025-10-19,AWS Key Management Service,0.0,1.0
2025-10-19,AWS Secrets Manager,0.0,1.0
2025-10-19,Amazon Location Service,0.0,2.0
2025-10-19,Amazon Simple Notification Service,0.0,1.0
2025-10-19,Amazon Simple Queue Service,0.0,1.0
2025-10-19,Amazon Simple Storage Service,0.0,4.0
2025-10-19,Tax,0.0,0.0
2025-10-20,AWS Data Transfer,-0.0,0.0
2025-10-20,AWS Glue,0.0,2.0
2025-10-20,AWS Key Management Service,0.0,1.0
2025-10-20,AWS Secrets Manager,0.0,1.0
2025-10-20,Amazon Location Service,0.0,2.0
2025-10-20,Amazon Simple Queue Service,0.0,1.0
2025-10-20,Amazon Simple Storage Service,0.0,3.0
2025-10-21,AWS Data Transfer,-0.0,0.0
2025-10-21,Amazon Simple Notification Service,0.0,1.0
2025-10-21,Amazon Simple Storage Service,0.0,1.0
